"Season","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"2016","CLE","3.93","-106.43","110.36","43.46","4.13","0.98","1.57","112","5.09","-1.08"
"2009","STL","3.91","-104.03","107.93","33.39","3.42","0.99","1.14","280","3.09","0.86"
"2004","HOU","3.90","-104.40","108.30","46.23","4.47","0.96","1.15","269","3.04","1.00"
"2002","BOS","3.89","-105.25","109.14","83.09","8.02","0.96","1.48","113","2.97","1.07"
"2014","OAK","3.89","-105.59","109.48","87.58","9.85","1.01","1.50","186","5.10","-1.24"
"2006","ATL","3.86","-111.95","115.81","75.26","7.65","1.01","1.19","299","5.72","-1.91"
"2011","CIN","3.79","-117.89","121.69","50.35","5.43","1.09","1.40","240","3.93","-0.45"
"2016","CHC","3.79","-107.84","111.63","90.85","9.28","0.99","1.23","234","7.46","-3.62"
"2015","LAD","3.76","-103.71","107.47","21.15","2.28","0.98","1.19","273","5.95","-2.13"
"2006","OAK","3.73","-110.52","114.26","0.34","0.24","1.02","1.65","62","-0.70","4.36"
"2004","ANA","3.71","-107.44","111.15","58.64","5.90","0.98","1.25","91","2.54","1.25"
"2017","NYY","3.68","-108.54","112.22","99.74","9.86","0.97","1.15","112","10.83","-7.05"
"2000","ATL","3.65","-109.52","113.16","36.28","3.84","1.00","1.17","246","5.20","-1.53"
"2003","SEA","3.64","-99.16","102.79","49.97","5.28","0.91","1.03","72","-0.20","4.19"
"2004","CIN","3.61","-109.67","113.29","-15.27","-1.55","1.01","1.30","259","-2.71","6.30"
"2009","MIN","3.60","-107.70","111.30","54.43","5.45","0.97","1.62","83","5.78","-2.07"
"2006","MIN","3.60","-104.38","107.98","32.02","3.25","0.96","1.30","93","0.55","3.21"
"2012","ATL","3.59","-98.38","101.97","23.36","2.34","0.94","1.10","250","2.48","1.33"
"2013","LAD","3.53","-108.62","112.15","22.22","2.13","1.05","1.37","209","4.70","-1.32"
